id,st_num,st_name,obs_date,obs_time,lat,lng,prcp,colors
1c65ee2a-630e-478f-b50b-0c3a0d2bdbb3,VT-CH-38,Williston 0.2 WSW,7/11/2024,7:00 AM,44.436697,-73.071548,2.51,1.46 - 3.49 in.
24e26eb9-87d5-4866-ab8f-087459ee13eb,VT-OL-27,Irasburg 2.9 NW,7/11/2024,7:00 AM,44.834125,-72.320109,3.79,3.50 - 5.24 in.
782cb574-3fc9-47e5-9896-cf6f82dbf804,VT-CH-64,Shelburne 1.1 NE,7/11/2024,7:00 AM,44.39011,-73.20886,3.1,1.46 - 3.49 in.
fb99d838-e738-4a51-bc73-0cc166f68715,VT-RT-28,Shrewsbury 0.8 W,7/11/2024,7:00 AM,43.50806455,-72.88238002,0.8,0.59 - 1.45 in.
ac582264-d62a-4e63-9633-074419043754,VT-WH-19,East Dover 1.8 N,7/11/2024,7:00 AM,42.976583,-72.776378,0.03,0.01 - 0.29 in.
61ec3e75-c41f-4322-85c3-7d25c89fb9b6,VT-WH-29,Brattleboro 0.7 S,7/11/2024,7:00 AM,42.8403,-72.5558,0,0 in.
8917a9ef-3f68-4ef0-bf13-9fd0ae7124e3,VT-WH-17,Rockingham 1.1 NNE,7/11/2024,7:00 AM,43.20388889,-72.48222222,0.01,0.01 - 0.29 in.
49030fda-9812-4224-8f5d-88c018bb77ee,VT-RT-31,Brandon 3.3 NNW,7/11/2024,7:00 AM,43.843971,-73.107619,0.31,0.30 - 0.58 in.
cf5ba87a-3a4f-4737-b5a7-3df81922f643,VT-OG-13,West Fairlee 1.8 ENE,7/11/2024,7:00 AM,43.92138,-72.23051,1.26,0.59 - 1.45 in.
5279f1b3-ff44-449c-aab0-2469868143e0,VT-OL-24,Derby Line 1.9 W,7/11/2024,7:00 AM,45.004545,-72.1417,2.42,1.46 - 3.49 in.
1afc1c7e-9a26-4bda-8f71-02f602f9d50f,VT-CH-50,Shelburne 0.5 ENE,7/11/2024,7:00 AM,44.382596,-73.217655,3.5,3.50 - 5.24 in.
f6b8b0be-9814-4b1d-ae63-f576e89038b8,VT-WS-46,Montpelier 1.2 SSE,7/11/2024,7:00 AM,44.2435,-72.5676,2.75,1.46 - 3.49 in.
fe49d399-604b-484b-a569-75b33a88b5f8,VT-CL-47,St. Johnsbury 0.4 N,7/11/2024,7:00 AM,44.42423,-72.02189,5.09,3.50 - 5.24 in.
f9df8f73-cd91-4e3e-be43-2836a707f71b,VT-RT-25,Wallingford 2.7 SSW,7/11/2024,7:00 AM,43.433715,-72.990311,0.87,0.59 - 1.45 in.
33a4fe17-bddb-4274-9055-bded4fd3daff,VT-FR-26,Enosburg Falls 2.5 N,7/11/2024,7:00 AM,44.9447,-72.7969,2,1.46 - 3.49 in.
5aec04d2-571a-4fae-a33f-594ea24458b1,VT-ES-7,North Concord 2.4 SE,7/11/2024,7:00 AM,44.445538,-71.819711,3.45,1.46 - 3.49 in.
4e676293-0c4b-48dc-9888-d3b650daea28,VT-CH-12,Hinesburg 5.4 ESE,7/11/2024,7:00 AM,44.288735,-73.099519,4.29,3.50 - 5.24 in.
47194ba5-02a5-4d62-92a9-14246f548aed,VT-OL-9,Greensboro 2.1 NNW,7/11/2024,7:00 AM,44.60527778,-72.30944444,4.06,3.50 - 5.24 in.
82eed020-934d-4c4a-a271-d19e21b98791,VT-AD-41,Bristol 3.9 NE,7/11/2024,7:00 AM,44.169677,-73.021704,5.11,3.50 - 5.24 in.
5e527cb7-4715-4b64-8b45-c8ad29c2e97c,VT-FR-30,Montgomery 4.1 ESE,7/11/2024,7:00 AM,44.87663,-72.56234,3.4,1.46 - 3.49 in.
e6b5771c-a945-44a2-9efc-5f22dd81aae5,VT-OL-33,Craftsbury 1.6 SSW,7/11/2024,7:00 AM,44.6147,-72.3863,3.2,1.46 - 3.49 in.
78d9cbbd-3b74-4d27-bcb0-58a0b9c6330c,VT-OL-1,Westfield 0.7 WNW,7/11/2024,7:00 AM,44.8916,-72.4435,3.91,3.50 - 5.24 in.
4938baa6-d345-4a42-8ab8-61f790532503,VT-WS-12,Cabot 3.9 ENE,7/11/2024,7:00 AM,44.41714,-72.23497,4.52,3.50 - 5.24 in.
fbd2ff98-b43d-439c-9dd7-1aef6424e724,VT-LM-23,Jeffersonville 1.3 SSW,7/11/2024,7:00 AM,44.62722,-72.84167,1.54,1.46 - 3.49 in.
8a86eb22-ae59-4409-9972-d587f460e78b,VT-WS-30,Woodbury 3.4 NNW,7/11/2024,7:00 AM,44.488258,-72.432583,4.03,3.50 - 5.24 in.
c097ad8b-dd3d-4b64-9809-cdc620b728bb,VT-BN-3,Landgrove 1.1 NNE,7/11/2024,7:00 AM,43.29092,-72.832596,0.14,0.01 - 0.29 in.
0e5fa4df-0ba6-4672-b480-4f5fcbad5ab3,VT-WS-36,Duxbury 2.5 SW,7/11/2024,7:00 AM,44.305128,-72.790407,4.82,3.50 - 5.24 in.
5e952dd1-b347-4769-855f-245f335b1fb4,VT-CH-53,Hinesburg 1.5 SW,7/11/2024,7:00 AM,44.31655,-73.13531,5.82,5.25 - 5.82 in.
d9472f18-296e-4959-a626-fc4bfb90fd0a,VT-CL-18,Wheelock 1.6 S,7/11/2024,7:00 AM,44.56491089,-72.088333,4.42,3.50 - 5.24 in.
d0a267be-65a7-4da9-89e1-1453f24e732b,VT-WR-4,Norwich 1.6 NNE,7/11/2024,7:00 AM,43.734986,-72.2938,0.57,0.30 - 0.58 in.
67766f1e-29d9-42ef-8f0e-de7615d230a3,VT-CH-70,Burlington 0.5 NW,7/11/2024,7:00 AM,44.481135,-73.218678,1.57,1.46 - 3.49 in.
1ae700d5-fb2d-428b-a9c7-cffda9573c66,VT-AD-5,Orwell 1.2 WNW,7/11/2024,7:00 AM,43.811889,-73.319709,0.67,0.59 - 1.45 in.
